User Mobility (m/s),Proposed Algorithm (%),Local Computing (%),Random Scheduling (%),DQN (%),A3C (%)
0.5,96.7,82.4,87.6,95.4,96.5
0.5510204081632653,96.63877551020408,82.16530612244898,87.17142857142856,94.60408163265306,96.18775510204081
0.6020408163265306,96.57755102040817,81.93061224489796,86.74285714285713,93.80816326530612,95.87551020408164
0.653061224489796,96.51632653061225,81.69591836734693,86.31428571428572,93.01224489795919,95.56326530612245
0.7040816326530612,96.45510204081633,81.46122448979592,85.88571428571429,92.21632653061225,95.25102040816327
0.7551020408163265,96.39387755102041,81.2265306122449,85.45714285714286,91.42040816326531,94.93877551020408
0.8061224489795918,96.33265306122449,80.99183673469388,85.02857142857142,90.62448979591836,94.62653061224489
0.8571428571428572,96.27142857142857,80.75714285714285,84.60000000000001,89.82857142857142,94.31428571428572
0.9081632653061225,96.21020408163265,80.52244897959183,84.17142857142858,89.03265306122448,94.00204081632653
0.9591836734693877,96.14897959183673,80.2877551020408,83.74285714285715,88.23673469387755,93.68979591836734
1.010204081632653,96.01632653061225,79.99591836734693,83.29183673469389,87.50836734693877,93.27183673469388
1.0612244897959184,95.59795918367347,79.47551020408163,82.75102040816327,87.05020408163264,92.43102040816326
1.1122448979591837,95.17959183673469,78.95510204081633,82.21020408163265,86.59204081632653,91.59020408163265
1.163265306122449,94.76122448979592,78.43469387755101,81.66938775510204,86.1338775510204,90.74938775510203
1.2142857142857144,94.34285714285714,77.91428571428571,81.12857142857143,85.67571428571428,89.90857142857142
1.2653061224489797,93.92448979591836,77.39387755102041,80.58775510204082,85.21755102040817,89.06775510204082
1.316326530612245,93.5061224489796,76.8734693877551,80.0469387755102,84.75938775510204,88.2269387755102
1.3673469387755102,93.08775510204082,76.35306122448979,79.5061224489796,84.30122448979591,87.38612244897959
1.4183673469387754,92.66938775510204,75.83265306122449,78.96530612244898,83.8430612244898,86.54530612244898
1.469387755102041,92.25102040816327,75.31224489795918,78.42448979591836,83.38489795918368,85.70448979591836
1.5204081632653061,91.97142857142858,74.95102040816326,77.8061224489796,82.97571428571429,84.88775510204081
1.5714285714285714,91.9,74.82857142857142,77.07142857142857,82.64,84.10714285714286
1.6224489795918369,91.82857142857142,74.70612244897958,76.33673469387755,82.30428571428571,83.3265306122449
1.6734693877551021,91.75714285714285,74.58367346938775,75.60204081632652,81.96857142857142,82.54591836734694
1.7244897959183674,91.68571428571428,74.46122448979591,74.86734693877551,81.63285714285713,81.76530612244898
1.7755102040816326,91.61428571428571,74.33877551020409,74.13265306122449,81.29714285714286,80.98469387755102
1.8265306122448979,91.54285714285714,74.21632653061225,73.39795918367348,80.96142857142857,80.20408163265306
1.8775510204081634,91.47142857142858,74.09387755102041,72.66326530612245,80.62571428571428,79.4234693877551
1.9285714285714286,91.39999999999999,73.97142857142858,71.92857142857143,80.28999999999999,78.64285714285714
1.9795918367346939,91.32857142857142,73.84897959183674,71.19387755102042,79.9542857142857,77.86224489795919
2.0306122448979593,90.87142857142857,73.16938775510204,70.56326530612245,79.49734693877551,77.31428571428572
2.0816326530612246,90.15714285714286,72.11836734693877,70.00204081632654,78.95959183673469,76.92142857142856
2.13265306122449,89.44285714285714,71.0673469387755,69.44081632653062,78.42183673469387,76.52857142857142
2.183673469387755,88.72857142857143,70.01632653061225,68.8795918367347,77.88408163265305,76.13571428571429
2.2346938775510203,88.0142857142857,68.96530612244898,68.31836734693879,77.34632653061225,75.74285714285715
2.2857142857142856,87.3,67.91428571428571,67.75714285714287,76.80857142857143,75.35
2.336734693877551,86.58571428571429,66.86326530612246,67.19591836734695,76.2708163265306,74.95714285714286
2.387755102040816,85.87142857142857,65.81224489795919,66.63469387755103,75.7330612244898,74.56428571428572
2.438775510204082,85.15714285714286,64.76122448979592,66.07346938775511,75.19530612244897,74.17142857142858
2.489795918367347,84.44285714285714,63.710204081632654,65.51224489795919,74.65755102040816,73.77857142857142
2.5408163265306123,84.03877551020408,63.16530612244898,65.16326530612245,74.18755102040816,73.27632653061225
2.5918367346938775,83.71224489795918,62.7469387755102,64.86734693877551,73.73448979591836,72.74673469387756
2.642857142857143,83.38571428571429,62.32857142857143,64.57142857142857,73.28142857142856,72.21714285714286
2.693877551020408,83.05918367346939,61.910204081632656,64.27551020408164,72.82836734693878,71.68755102040816
2.7448979591836737,82.73265306122448,61.49183673469388,63.9795918367347,72.37530612244898,71.15795918367347
2.795918367346939,82.40612244897959,61.0734693877551,63.683673469387756,71.92224489795917,70.62836734693877
2.8469387755102042,82.07959183673469,60.655102040816324,63.38775510204081,71.46918367346939,70.09877551020408
2.8979591836734695,81.75306122448978,60.23673469387755,63.09183673469388,71.01612244897959,69.5691836734694
2.9489795918367347,81.42653061224489,59.81836734693877,62.79591836734694,70.5630612244898,69.0395918367347
3.0,81.1,59.4,62.5,70.11,68.51
